"id","date","time","long","lat","depth","mag","src"
"5603","1978-04-22","20:58:49","-81.1","-2.07","33.9","4.8","ISC"
"5587","1978-08-20","00:04:16","-80.54","-0.22","29","3.7","ISC"
"5583","1978-09-26","08:39:05","-80.96","-1.54","33","4.7","ISC"
"5569","1979-02-28","10:03:49","-79.76","0.9","41.8","4.8","ISC"
"5567","1979-03-01","09:33:13","-80.02","0.62","10.8","5.7","ISC"
"5566","1979-03-09","03:40:13","-80.03","0.77","71.6","4.3","ISC"
"5565","1979-03-09","04:17:22","-80.18","0.47","67.6","4.5","ISC"
"5564","1979-03-09","19:28:00","-80.02","0.6","83.3","4.5","ISC"
"5550","1979-05-24","23:31:35","-80.24","0.44","38.6","4.3","ISC"
"5543","1979-09-05","02:13:03","-81.02","-1.16","25","4.3","ISC"
"5501","1979-12-13","23:57:51","-79.82","1.19","33","3.8","ISC"
"5324","1981-05-06","16:34:53","-80.95","-2.05","56.1","6.3","ISC"
"5323","1981-05-06","16:36:05","-80.91","-1.91","11","6.4","ISC"
"5322","1981-05-07","15:38:22","-80.99","-2.06","43.7","4.5","ISC"
"5232","1982-09-12","15:03:26","-79.6","0.92","71.3","4.6","ISC"
"5225","1982-11-04","10:02:20","-80.31","0.47","33","4.4","ISC"
"5200","1983-05-06","02:59:40","-80.68","0.22","33","4.2","ISC"
"5194","1983-06-11","23:15:30","-79.93","0.25","57.6","4.8","ISC"
"5191","1983-07-21","01:46:05","-80.91","-1.28","42.6","5","ISC"
"5190","1983-07-21","02:03:36","-80.88","-1.35","77.9","4.6","ISC"
"5173","1983-11-22","09:21:03","-79.78","0.5","35","6.7","ISC"
"5168","1983-12-21","13:36:59","-79.85","0.41","54.5","5.2","ISC"
"5160","1984-01-23","04:37:26","-80.42","-0.71","33","3.9","ISC"
"5156","1984-02-20","22:20:53","-80.61","-1.54","95.2","4.5","ISC"
"5155","1984-02-20","22:38:42","-80.4","-1.28","106.7","4.7","ISC"
"5146","1984-04-15","00:37:10","-80.14","0.59","33","4.4","ISC"
"5095","1985-04-21","12:39:51","-80.44","-0.45","49.1","4.7","ISC"
"5094","1985-05-29","11:45:02","-80.71","-0.19","41.5","4.2","ISC"
"5086","1985-06-25","15:00:42","-80.65","0.006","33","4.2","ISC"
"5065","1985-12-06","19:06:56","-80.89","-1.95","35","5","ISC"
"5059","1986-01-19","03:03:31","-79.89","0.61","54.7","5","ISC"
"5058","1986-01-20","02:32:55","-79.72","1.04","33","3.9","ISC"
"4980","1987-04-26","05:07:18","-80.86","-0.92","33","4","ISC"
"4971","1987-07-31","14:05:47","-80.48","-1.23","25","4.8","ISC"
"4962","1987-09-23","04:43:47","-80.79","-1","33","5.2","ISC"
