"id","date","time","long","lat","depth","mag","src"
"6558","1949-08-05","19:08:47","-78.4","-1.23","10","6.8","CENTENNIAL"
"6541","1958-05-25","21:11:42","-78.09","-3.12","29","6.5","ISC"
"6535","1963-03-30","09:23:14","-77.7","-1.5","154","4.5","USGS-NEIC"
"6531","1963-05-10","22:22:41","-77.62","-2.18","20","6.6","ISC"
"6524","1963-06-08","08:57:25","-77.8","-2.3","33","4.4","USGS-NEIC"
"6522","1963-06-20","20:42:17","-77.5","-2.3","33","4.1","USGS-NEIC"
"6520","1963-07-02","02:52:53","-77.8","-2.4","33","4.6","USGS-NEIC"
"6518","1963-07-25","20:31:18","-77.8","-2.4","33","4","USGS-NEIC"
"6510","1963-09-17","07:34:39","-77.9","-1.5","178","4","USGS-NEIC"
"6509","1963-09-19","00:06:43","-78","-2.6","33","4.3","USGS-NEIC"
"6508","1963-10-14","05:39:17","-77.6","-2.3","33","4.7","USGS-NEIC"
"6507","1963-10-26","12:56:47","-77.8","-2.7","33","4.2","USGS-NEIC"
"6495","1963-12-13","04:16:14","-78.4","-2.7","109","4.5","USGS-NEIC"
"6494","1963-12-16","16:41:10","-78","-1.6","170","4.8","USGS-NEIC"
"6477","1964-03-02","17:19:51","-77.55","-1.99","29","4.7","ISC"
"6475","1964-03-15","14:14:54","-78.1","-2.7","94","4.3","ISC"
"6472","1964-03-23","03:35:46","-78.8","-1.11","68","4.2","ISC"
"6455","1964-06-22","03:29:56","-78.1","-2.56","46","4","ISC"
"6452","1964-06-23","13:53:52","-77.68","-2.51","33","3.9","ISC"
"6450","1964-06-29","08:50:56","-78","-1.6","156","4","ISC"
"6449","1964-07-05","01:06:26","-78.66","-1.14","70","4","ISC"
"6448","1964-07-11","08:15:40","-78.1","-2.75","148","3.8","ISC"
"6445","1964-07-27","04:03:34","-77.89","-1.78","154.4","4.3","ISC"
"6437","1964-08-24","10:37:24","-77.92","-1.5","178","5","ISC"
"6429","1964-10-25","06:25:50","-77.16","-1.96","162","5.2","ISC"
"6421","1964-12-09","19:12:19","-77.52","-1.23","218","4.3","ISC"
"6413","1965-01-16","16:59:29","-78.2","-2.5","33","4.5","USGS-NEIC"
"6410","1965-02-11","16:10:31","-77.89","-1.48","179.5","5","ISC"
"6406","1965-03-06","04:43:12","-78.3","-1.26","53","4.2","ISC"
"6400","1965-04-06","19:21:51","-78.17","-3.11","110","4.9","ISC"
"6394","1965-04-26","08:39:04","-77.85","-1.31","193","4.2","ISC"
"6393","1965-05-01","23:45:34","-77.78","-1.75","199","3.6","ISC"
"6382","1965-07-13","22:34:49","-77.7","-3.2","90","4.4","USGS-NEIC"
"6378","1965-07-30","16:32:38","-78.07","-1.48","170","4.3","ISC"
"6371","1965-09-17","11:13:57","-77.67","-1.44","185.9","6.52","ISC"
"6370","1965-09-19","01:45:02","-77.6","-1.56","209","3.9","ISC"
"6361","1965-10-30","08:37:22","-77.9","-2.4","166","4.1","USGS-NEIC"
"6360","1965-10-31","04:02:26","-77.6","-1.6","245","4.7","USGS-NEIC"
"6359","1965-11-13","19:02:24","-77.48","-1.63","224","3.9","ISC"
"6358","1965-11-19","09:52:38","-77.6","-2","189","4.2","USGS-NEIC"
"6347","1965-12-12","22:25:15","-77.6","-1.5","201","5.6","USGS-NEIC"
"6339","1966-01-31","13:54:25","-78.03","-1.64","163.9","4.3","ISC"
"6338","1966-02-09","20:30:24","-77.87","-1.65","172","4","ISC"
"6326","1966-04-09","07:53:24","-78","-1.36","182","3.8","ISC"
"6321","1966-05-15","20:16:04","-78.02","-1.55","194","4.1","ISC"
"6320","1966-05-24","20:50:59","-78.1","-2.29","1","4.1","ISC"
"6316","1966-06-29","00:36:16","-77.8","-2.22","158","3.8","ISC"
"6314","1966-07-13","08:32:49","-77.3","-2.22","142","4","ISC"
"6311","1966-08-01","09:48:04","-78.6","-1.16","74","4.7","ISC"
"6308","1966-08-24","20:10:10","-77.43","-1.49","198.8","4.4","ISC"
"6287","1966-12-21","11:37:27","-77","-1.9","33","4.1","ISC"
"6285","1967-01-03","04:55:58","-77.68","-1.26","193","4.2","ISC"
"6265","1967-03-05","10:13:30","-77.69","-1.49","221","3.6","ISC"
"6264","1967-03-07","15:30:27","-78.03","-1.48","169","4","ISC"
"6244","1967-05-18","07:48:55","-78.61","-0.86","20.7","4.4","ISC"
"6242","1967-06-07","11:39:53","-78.55","-0.98","46.6","4.5","ISC"
"6240","1967-06-21","06:49:53","-77.74","-2.27","7.8","5.4","ISC"
"6239","1967-06-22","12:06:24","-78.2","-2.4","71","4.1","ISC"
"6238","1967-06-22","13:49:48","-77.62","-2.38","30","4.9","ISC"
