"id","date","time","long","lat","depth","mag","src"
"6603","1907-06-01","08:45:00","-82","0","0","7","CENTENNIAL"
"6602","1912-07-24","11:59:00","-80","-5","0","7","CENTENNIAL"
"6601","1917-08-31","11:36:24","-74","4","0","7.1","CENTENNIAL"
"6600","1920-01-30","18:26:45","-77.5","3","35","6","ISC"
"6599","1924-03-11","22:44:28","-81.68","-3.5","35","6.8","CENTENNIAL"
"6598","1924-07-22","04:04:16","-79","-1","287","6.5","ISC"
"6597","1924-10-18","23:05:30","-80.16","2.81","15","6.8","CENTENNIAL"
"6596","1925-06-07","23:41:40","-80.5","3","318","6.8","ISC"
"6595","1925-06-23","16:46:40","-77.03","-0.11","25","6.8","CENTENNIAL"
"6594","1926-03-07","20:33:28","-74.5","-2.8","0","6.5","ISC"
"6593","1927-03-13","05:32:16","-81.5","-6.5","0","6","ISC"
"6590","1930-11-24","06:06:48","-74.5","-2","0","6.2","ISC"
"6588","1933-05-18","04:28:35","-78.5","0.5","60","5.6","ISC"
"6587","1933-10-01","02:40:39","-75.2","-6.4","0","6.2","ISC"
"6583","1934-04-03","07:36:27","-78","4","35","6","ISC"
"6582","1934-08-06","12:07:13","-77.8","3.4","0","6","ISC"
"6581","1934-10-29","23:25:23","-78","-5","110","6.2","ISC"
"6580","1935-03-08","11:59:10","-79.8","-4.2","0","6","ISC"
"6578","1935-10-27","22:05:02","-77.8","3.4","0","5.5","ISC"
"6575","1937-05-21","13:12:23","-78.5","2.2","65","6.5","ISC"
"6574","1937-07-08","12:51:05","-84","3","35","6","ISC"
"6573","1937-07-19","19:35:28","-76.39","-1.97","184.2","7.1","CENTENNIAL"
"6572","1938-01-16","21:41:40","-75.3","-6.2","0","6","ISC"
"6570","1940-05-05","02:03:42","-80","-7","35","6","ISC"
"6569","1940-10-23","02:23:15","-76","-2","140","6","ISC"
"6568","1941-01-24","05:44:03","-76.75","-3.25","120","6.5","ISC"
"6567","1942-01-08","15:12:22","-79","-6.5","0","6","ISC"
"6565","1942-11-06","13:31:11","-76.76","-6.52","123.6","6.8","CENTENNIAL"
"6563","1943-04-05","03:08:58","-76","-6.5","140","6.5","ISC"
"6562","1943-12-22","07:01:50","-77","-2.5","130","6.2","ISC"
"6561","1944-05-09","14:29:49","-74.8","3.1","0","6","ISC"
"6559","1945-07-09","16:42:08","-76.9","1.9","96","6.5","ISC"
"6557","1950-06-07","16:52:34","-76.5","-4","110","6.8","CENTENNIAL"
"6556","1953-04-17","00:02:50","-77.2","-5.2","0","6","ISC"
"6551","1956-03-22","06:34:00","-79","-3.3","96","6.5","ISC"
"6550","1957-05-24","02:37:50","-76.75","3.7","5.3","6.12","ISC"
"6545","1958-02-01","20:45:52","-79.19","1.66","46","6.8","ISC"
"6540","1959-02-07","09:36:58","-81.68","-3.78","35","6.9","CENTENNIAL"
"6539","1960-11-20","22:01:02","-80.91","-6.77","15","7.8","ISC"
"6538","1963-02-27","00:10:01","-79","-1.2","33","4.3","USGS-NEIC"
"6537","1963-03-04","15:43:02","-81.6","-4.5","23","5.3","USGS-NEIC"
"6536","1963-03-05","07:05:00","-81.5","-4.5","22","5.6","USGS-NEIC"
"6533","1963-04-04","06:07:21","-75","3.9","33","4.2","USGS-NEIC"
"6529","1963-05-12","11:00:50","-77","-2.7","115","4","USGS-NEIC"
"6527","1963-05-20","13:22:09","-77.6","1.1","148","4.2","USGS-NEIC"
"6519","1963-07-05","14:29:25","-77.8","-3.2","65","4.2","USGS-NEIC"
"6516","1963-08-11","06:30:37","-78.9","-1","33","4","USGS-NEIC"
"6514","1963-08-15","00:47:05","-76.1","2.8","33","4.3","USGS-NEIC"
"6512","1963-08-29","15:30:29","-81.48","-6.97","0","6.1","ISC"
"6506","1963-10-30","01:17:31","-77.9","-4.8","20","5.3","USGS-NEIC"
"6505","1963-10-31","23:19:15","-77.7","-4.9","60","4.5","USGS-NEIC"
"6504","1963-11-03","03:10:13","-77.8","-3.5","33","6","USGS-NEIC"
"6503","1963-11-03","04:24:48","-78.3","-4.3","146","4.2","USGS-NEIC"
"6500","1963-11-06","01:28:47","-77.7","-4.2","170","4.1","USGS-NEIC"
"6497","1963-11-15","00:18:52","-76.8","-4.7","152","4.3","USGS-NEIC"
"6493","1963-12-20","10:48:04","-80.8","-5.2","55","5.2","USGS-NEIC"
"6491","1964-01-03","13:27:51","-76","-5.3","106","4.2","ISC"
"6490","1964-01-03","22:12:09","-79.19","-1.35","33","4.5","ISC"
"6486","1964-01-17","13:27:22","-77.5","-3.44","33","4.2","ISC"
"6479","1964-02-21","13:51:48","-81.5","-7","33","4.4","ISC"
"6478","1964-02-24","18:38:34","-78","-3.37","33","4.1","ISC"
"6476","1964-03-13","14:54:02","-77","-3.7","0","4.2","ISC"
"6470","1964-03-26","05:25:03","-76.62","-5.01","97","4.8","ISC"
"6465","1964-05-09","20:06:44","-81.3","-5.33","126","4.5","ISC"
"6464","1964-05-12","08:27:05","-77.3","-0.6","33","4","ISC"
"6461","1964-06-01","09:20:56","-77.3","-0.82","33","3.8","ISC"
"6459","1964-06-09","15:31:30","-77.9","-4.77","40","4.1","ISC"
"6458","1964-06-09","18:16:16","-79.02","-0.16","57.6","4.7","ISC"
"6457","1964-06-12","16:44:36","-83.13","2.19","49","4.8","ISC"
"6451","1964-06-24","06:21:41","-77.4","-3.5","33","4","USGS-NEIC"
"6447","1964-07-26","13:55:40","-78.4","2.6","64","5.2","ISC"
"6446","1964-07-26","19:43:41","-78.42","2.52","101","4.5","ISC"
"6444","1964-08-03","21:29:41","-78","3.42","68","4.4","ISC"
"6443","1964-08-04","13:06:22","-78.7","-5.14","33","4.1","ISC"
"6441","1964-08-13","16:32:19","-81.3","-6","49","4.2","ISC"
"6439","1964-08-19","14:00:38","-75.26","-6.92","15","4.4","ISC"
"6438","1964-08-20","00:27:48","-78.9","2.08","55","4.3","ISC"
"6435","1964-08-27","21:46:42","-78.34","1.47","140","4.1","ISC"
"6434","1964-09-05","04:35:28","-76.8","1.06","90","4.2","ISC"
"6433","1964-09-10","21:36:35","-81.22","-4.8","72","4.5","ISC"
"6430","1964-10-18","02:49:18","-78.03","2.79","76","4.7","ISC"
"6426","1964-11-21","17:24:25","-76.7","-4.87","109","4.3","ISC"
"6424","1964-11-29","17:08:28","-79.21","-4.74","98","4.2","ISC"
"6423","1964-12-07","15:55:52","-76.37","-6.56","135","4.8","ISC"
"6420","1964-12-10","02:35:40","-76.7","1.9","191","4.5","USGS-NEIC"
"6419","1965-01-06","16:30:37","-81.52","-0.89","21","4.6","ISC"
"6418","1965-01-07","11:57:30","-76.7","-3.1","30","4.3","ISC"
